date_scraped,search_page_num,chemical_name,chemical_page
2019-12-07 11:47:24.807842,1,WATER,https://www.ewg.org/skindeep/ingredients/706945-WATER
2019-12-07 11:47:24.867245,1,FRAGRANCE,https://www.ewg.org/skindeep/ingredients/702512-FRAGRANCE
2019-12-07 11:47:24.910415,1,GLYCERIN,https://www.ewg.org/skindeep/ingredients/702620-GLYCERIN
2019-12-07 11:47:24.953238,1,IRON OXIDES,https://www.ewg.org/skindeep/ingredients/706410-IRON_OXIDES
2019-12-07 11:47:25.005807,1,TITANIUM DIOXIDE,https://www.ewg.org/skindeep/ingredients/706561-TITANIUM_DIOXIDE
2019-12-07 11:47:25.054555,1,MICA,https://www.ewg.org/skindeep/ingredients/703949-MICA
2019-12-07 11:47:25.095923,1,PHENOXYETHANOL,https://www.ewg.org/skindeep/ingredients/704811-PHENOXYETHANOL
2019-12-07 11:47:25.138370,1,TOCOPHERYL ACETATE,https://www.ewg.org/skindeep/ingredients/706569-TOCOPHERYL_ACETATE
2019-12-07 11:47:25.176902,1,DIMETHICONE,https://www.ewg.org/skindeep/ingredients/702011-DIMETHICONE
2019-12-07 11:47:25.216360,1,TOCOPHEROL,https://www.ewg.org/skindeep/ingredients/706564-TOCOPHEROL
2019-12-07 11:47:25.251595,1,"SILICA, AMORPHOUS",https://www.ewg.org/skindeep/ingredients/705911-SILICA_AMORPHOUS
2019-12-07 11:47:25.284638,1,CITRIC ACID,https://www.ewg.org/skindeep/ingredients/701385-CITRIC_ACID
2019-12-07 11:47:25.319280,1,METHYLPARABEN,https://www.ewg.org/skindeep/ingredients/703937-METHYLPARABEN
2019-12-07 11:47:25.356114,1,PROPYLPARABEN,https://www.ewg.org/skindeep/ingredients/705335-PROPYLPARABEN
2019-12-07 11:47:25.390123,1,DISODIUM EDTA,https://www.ewg.org/skindeep/ingredients/702146-DISODIUM_EDTA
2019-12-07 11:47:25.427466,1,BUTYROSPERMUM PARKII (SHEA BUTTER),https://www.ewg.org/skindeep/ingredients/700875-BUTYROSPERMUM_PARKII_SHEA_BUTTER
2019-12-07 11:47:25.462526,1,BEESWAX,https://www.ewg.org/skindeep/ingredients/700643-BEESWAX
2019-12-07 11:47:25.498972,1,PANTHENOL,https://www.ewg.org/skindeep/ingredients/704436-PANTHENOL
2019-12-07 11:47:25.537068,1,XANTHAN GUM,https://www.ewg.org/skindeep/ingredients/706998-XANTHAN_GUM
2019-12-07 11:47:25.570276,1,CAPRYLIC/ CAPRIC TRIGLYCERIDE,https://www.ewg.org/skindeep/ingredients/701056-CAPRYLIC_CAPRIC_TRIGLYCERIDE
2019-12-07 11:47:25.604002,1,PROPYLENE GLYCOL,https://www.ewg.org/skindeep/ingredients/705315-PROPYLENE_GLYCOL
2019-12-07 11:47:25.639926,1,CETEARYL ALCOHOL,https://www.ewg.org/skindeep/ingredients/701236-CETEARYL_ALCOHOL
2019-12-07 11:47:25.679054,1,CAPRYLYL GLYCOL,https://www.ewg.org/skindeep/ingredients/701067-CAPRYLYL_GLYCOL
2019-12-07 11:47:25.737292,1,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,https://www.ewg.org/skindeep/ingredients/705966-SIMMONDSIA_CHINENSIS_JOJOBA_SEED_OIL
2019-12-07 11:47:25.771461,1,LINALOOL,https://www.ewg.org/skindeep/ingredients/703568-LINALOOL
2019-12-07 11:47:25.807327,1,BUTYLENE GLYCOL,https://www.ewg.org/skindeep/ingredients/700861-BUTYLENE_GLYCOL
2019-12-07 11:47:25.844288,1,CYCLOPENTASILOXANE,https://www.ewg.org/skindeep/ingredients/701741-CYCLOPENTASILOXANE
2019-12-07 11:47:25.881775,1,LIMONENE,https://www.ewg.org/skindeep/ingredients/702113-LIMONENE
2019-12-07 11:47:25.916081,1,SODIUM CHLORIDE,https://www.ewg.org/skindeep/ingredients/706025-SODIUM_CHLORIDE
2019-12-07 11:47:25.950930,1,HELIANTHUS ANNUUS (SUNFLOWER) OIL,https://www.ewg.org/skindeep/ingredients/702804-HELIANTHUS_ANNUUS_SUNFLOWER_OIL
2019-12-07 11:47:25.985416,1,CARMINE,https://www.ewg.org/skindeep/ingredients/701120-CARMINE
2019-12-07 11:47:26.023054,1,ULTRAMARINES,https://www.ewg.org/skindeep/ingredients/706769-ULTRAMARINES
2019-12-07 11:47:26.058428,1,GLYCERYL MONOSTEARATE,https://www.ewg.org/skindeep/ingredients/702648-GLYCERYL_MONOSTEARATE
2019-12-07 11:47:26.092674,1,CETYL ALCOHOL,https://www.ewg.org/skindeep/ingredients/701263-CETYL_ALCOHOL
