ing_a,ing_b,pairs_well
,,TRUE
,,TRUE
,,FALSE
,,FALSE
,,TRUE
benzoyl peroxide,titanium dioxide,TRUE
benzoyl peroxide,zinc oxide,TRUE
benzoyl peroxide,avobenzone,TRUE
benzoyl peroxide,octocrylene,TRUE
benzoyl peroxide,homosalate,TRUE
benzoyl peroxide,clindamycin,TRUE
benzoyl peroxide,clindamycin,TRUE
benzoyl peroxide,retinol (vitamin a),FALSE
benzoyl peroxide,retinyl palmitate (vitamin a palmitate),FALSE
benzoyl peroxide,retinyl propionate,FALSE
benzoyl peroxide,niacinamide,TRUE
benzoyl peroxide,glycolic acid,FALSE
benzoyl peroxide,mandelic acid,FALSE
benzoyl peroxide,benzyl salicylate,FALSE
benzoyl peroxide,homosalate,FALSE
benzoyl peroxide,butyloctyl salicylate,FALSE
benzoyl peroxide,capryloyl salicylic acid,FALSE
benzoyl peroxide,isodecyl salicylate,FALSE
benzoyl peroxide,ascorbyl palmitate (vitamin c palmitate),FALSE
benzoyl peroxide,vitamin c-ester,FALSE
benzoyl peroxide,ascorbic acid (vitamin c),FALSE
benzoyl peroxide,sodium ascorbate,FALSE
,,FALSE
,,
benzoyl peroxide,benzoyl peroxide,FALSE
,,TRUE
,,TRUE
,,FALSE
,,
,,
,,FALSE
,,TRUE
,,TRUE
,,FALSE
,,TRUE
,,FALSE
,,
,,
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,
,,TRUE
,,TRUE
,,TRUE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,TRUE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,TRUE
,,TRUE?
,,TRUE
,,
,,FALSE
,,TRUE
,,TRUE
,,TRUE
,,FALSE
,,
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,FALSE
,,TRUE
